2;49: 1
16_30_32_47;25_52_54_66: 1
16_30_32_60;2_22_37_54: 1
16_30_32_60;2_25_39_47: 1
16_30_32_60;2_29_39_47: 1
16_30_32_60;31_47_54_66: 1
16_30_37_41;23_25_32_52: 1
16_30_37_60;23_25_32_52: 1
16_30_38_46;23_25_32_52: 2
16_30_38_47;23_25_32_52: 1
16_30_38_54;23_25_32_52: 1
16_30_38_60;23_25_32_52: 3
16_30_41_43;23_25_32_52: 1
16_30_41_60;23_25_32_52: 2
16_30_41_60;32_51_52_56: 1
16_30_45_51;23_25_32_52: 1
16_30_46_60;23_25_32_52: 1
16_30_47_60;23_25_32_52: 3
16_30_47_66;23_25_32_52: 1
16_30_49_60;23_25_32_52: 1
16_30_54_60;23_25_32_52: 1
16_30_55_57;23_25_32_52: 1
16_32_36_43;3_25_31_52: 1
16_32_41_43;25_30_46_60: 1
16_32_43_52;25_30_41_46: 1
16_32_43_60;2_25_30_46: 1
16_32_43_60;3_23_52_56: 1
16_32_43_60;25_30_41_46: 1
16_32_43_60;25_37_54_63: 1
16_32_43_60;30_49: 1
16_32_43_60;30_52_55_57: 1
16_32_47_60;3_42_52_56: 1
16_32_47_60;3_52_56_58: 1
16_32_47_60;25_30_38_46: 2
16_32_47_60;25_30_46_49: 1
16_32_47_60;30_45_51_52: 1
16_39_43_58;3_30_52_56: 1
16_39_43_60;32_47_52_56: 1
16_39_51_52;23_31_32_58: 1
16_39_51_52;25_32_47_49: 1
16_39_51_58;23_25_32_52: 1
16_45_49_62;6_25_26_29: 1
16_47;25_46: 1
20_22_30_45;24_25_31_46: 1
20_24_25_45;27_30_31_32: 1
20_24_45_54;29_31_38_55: 1
20_25_31_35;34_38_52_60: 1
20_25_35_58;30_32_49_60: 1
20_30_38_45;25_47_54_60: 1
21;44: 1
21_22_37_48;32_43_52_56: 1
21_23_32_47;25_30_38_46: 1
21_25_30_46;23_32_52_56: 1
21_30_37_47;23_32_52_58: 1
21_31_51_64;3_52_56_58: 1
21_34_36_64;25_31_43_48: 1
22_23_24_54;25_29_30_32: 1
22_23_25_32;2_30_52_56: 1
22_23_25_32;2_39_41_43: 1
22_23_25_32;3_41_52_56: 1
22_23_25_32;3_52_56_60: 1
22_23_25_32;24_30_31_49: 1
22_23_25_32;30_49_60_64: 1
22_23_25_32;30_52_58_60: 1
22_23_25_32;31_43_54_58: 1
